Versão,Regiões,I/O_e_malloc,num_Threads,Tamanho_entrada,num_Execuções,Tempo_médio_de_execução,Intervalo_de_confiança,,,
OpenMP,Triple Spiral,Com,4,16,10,"0,0009","0,000032",,,
OpenMP,Triple Spiral,Com,4,32,10,"0,0014","0,0000289",,,
OpenMP,Triple Spiral,Com,4,64,10,"0,00288","0,000107",,,
OpenMP,Triple Spiral,Com,4,128,10,"0,013","0,0002",,,
OpenMP,Triple Spiral,Com,4,256,10,"0,029","0,0003",,,
OpenMP,Triple Spiral,Com,4,512,10,"0,113","0,00081",,,
OpenMP,Triple Spiral,Com,4,1024,10,"0,457","0,00632",,,
OpenMP,Triple Spiral,Com,4,2048,10,"1,998","0,167",,,
OpenMP,Triple Spiral,Com,4,4096,10,"7,166","0,0074",,,
OpenMP,Triple Spiral,Com,4,8192,10,"28,46","0,0344",,,
Pthreads,Elephant,Com,16,16,10,"0,0011","0,000022",,,
Pthreads,Elephant,Com,16,32,10,"0,0013","0,0000369",,,
Pthreads,Elephant,Com,16,64,10,"0,00233","0,0001",,,
Pthreads,Elephant,Com,16,128,10,"0,0088","0,000426",,,
Pthreads,Elephant,Com,16,256,10,"0,0325","0,00099",,,
Pthreads,Elephant,Com,16,512,10,"0,0847","0,00315",,,
Pthreads,Elephant,Com,16,1024,10,"0,2836","0,00739",,,
Pthreads,Elephant,Com,16,2048,10,"1,018","0,0046",,,
Pthreads,Elephant,Com,16,4096,10,"3,941","0,016",,,
Pthreads,Elephant,Com,16,8192,10,"15,465","0,121",,,
OpenMP,Elephant,Com,16,16,10,"0,00235","0,000561",,,
OpenMP,Elephant,Com,16,32,10,"0,002213","0,000126",,,
OpenMP,Elephant,Com,16,64,10,"0,00353","0,000233",,,
OpenMP,Elephant,Com,16,128,10,"0,0105","0,000589",,,
OpenMP,Elephant,Com,16,256,10,"0,0356","0,000864",,,
OpenMP,Elephant,Com,16,512,10,"0,089","0,0051",,,
OpenMP,Elephant,Com,16,1024,10,"0,277","0,00713",,,
OpenMP,Elephant,Com,16,2048,10,"1,0344","0,00667",,,
OpenMP,Elephant,Com,16,4096,10,"3,8866","0,0135",,,
OpenMP,Elephant,Com,16,8192,10,"15,2356","0,0501",,,
Pthreads,Full,Com,16,16,10,"0,0013","0,00015",,,
Pthreads,Full,Com,16,32,10,"0,0011","0,0000266",,,
Pthreads,Full,Com,16,64,10,"0,00129","0,0000325",,,
Pthreads,Full,Com,16,128,10,"0,0028","0,000262",,,
Pthreads,Full,Com,16,256,10,"0,0115","0,00095",,,
Pthreads,Full,Com,16,512,10,"0,047","0,00149",,,
Pthreads,Full,Com,16,1024,10,"0,12451","0,00413",,,
Pthreads,Full,Com,16,2048,10,"0,42645","0,0039",,,
Pthreads,Full,Com,16,4096,10,"1,565","0,00784",,,
Pthreads,Full,Com,16,8192,10,"6,1409","0,0256",,,
OpenMP,Full,Com,16,16,10,"0,0013","0,0000378",,,
OpenMP,Full,Com,16,32,10,"0,00152","0,000102",,,
OpenMP,Full,Com,16,64,10,"0,00195","0,0000681",,,
OpenMP,Full,Com,16,128,10,"0,0036","0,000279",,,
OpenMP,Full,Com,16,256,10,"0,01447","0,00038",,,
OpenMP,Full,Com,16,512,10,"0,0472","0,00126",,,
OpenMP,Full,Com,16,1024,10,"0,12464","0,00572",,,
OpenMP,Full,Com,16,2048,10,"0,42113","0,00433",,,
OpenMP,Full,Com,16,4096,10,"1,62875","0,00935",,,
OpenMP,Full,Com,16,8192,10,"6,2354","0,0154",,,
Pthreads,Seahorse,Com,16,16,10,"0,0013","0,00013",,,
Pthreads,Seahorse,Com,16,32,10,"0,0011","0,00003",,,
Pthreads,Seahorse,Com,16,64,10,"0,0022","0,000052",,,
Pthreads,Seahorse,Com,16,128,10,"0,00966","0,000626",,,
Pthreads,Seahorse,Com,16,256,10,"0,0322","0,00132",,,
Pthreads,Seahorse,Com,16,512,10,"0,09043","0,00404",,,
Pthreads,Seahorse,Com,16,1024,10,"0,292","0,00828",,,
Pthreads,Seahorse,Com,16,2048,10,"1,0625","0,0083",,,
Pthreads,Seahorse,Com,16,4096,10,"4,0925","0,0244",,,
Pthreads,Seahorse,Com,16,8192,10,"16,0209","0,0279",,,
OpenMP,Seahorse,Com,16,16,10,"0,0019","0,00054",,,
OpenMP,Seahorse,Com,16,32,10,"0,002","0,000181",,,
OpenMP,Seahorse,Com,16,64,10,"0,0045","0,000194",,,
OpenMP,Seahorse,Com,16,128,10,"0,011","0,000193",,,
OpenMP,Seahorse,Com,16,256,10,"0,033","0,00266",,,
OpenMP,Seahorse,Com,16,512,10,"0,08556","0,00375",,,
OpenMP,Seahorse,Com,16,1024,10,"0,2826","0,00533",,,
OpenMP,Seahorse,Com,16,2048,10,"1,052","0,007",,,
OpenMP,Seahorse,Com,16,4096,10,"4,279","0,208",,,
OpenMP,Seahorse,Com,16,8192,10,"15,8614","0,0441",,,
Pthreads,Triple Spiral,Com,16,16,10,"0,0013","0,00016",,,
Pthreads,Triple Spiral,Com,16,32,5 df_1_sem= [(df_1['I/O_e_malloc'] == 'sem')],"0,0014","0,000164",,,
Pthreads,Triple Spiral,Com,16,64,6,"0,00318","0,000354",,,
Pthreads,Triple Spiral,Com,16,128,"----> 7 plt.plot(df_1_sem['Tamanho_entrada'], df_1_sem['Tempo_médio_de_execução'],","0,01044","0,00041",,,
Pthreads,Triple Spiral,Com,16,256,"8          marker='o', linestyle='-', color='r', label='sem')","0,03178","0,00255",,,
Pthreads,Triple Spiral,Com,16,512,9 plt.xlabel('Tamanho'),"0,089","0,00395",,,
Pthreads,Triple Spiral,Com,16,1024,,"0,304","0,00629",,,
Pthreads,Triple Spiral,Com,16,2048,"TypeError: list indices must be integers or slices, not str","1,14","0,00574",,,
Pthreads,Triple Spiral,Com,16,4096,10,"4,45","0,0136",,,
Pthreads,Triple Spiral,Com,16,8192,10,"17,56","0,0366",,,
OpenMP,Triple Spiral,Com,16,16,10,"0,0015","0,0000642",,,
OpenMP,Triple Spiral,Com,16,32,10,"0,002344","0,000432",,,
OpenMP,Triple Spiral,Com,16,64,10,"0,00362","0,000252",,,
OpenMP,Triple Spiral,Com,16,128,10,"0,0119","0,000455",,,
OpenMP,Triple Spiral,Com,16,256,10,"0,0366","0,00186",,,
OpenMP,Triple Spiral,Com,16,512,10,"0,09434","0,00492",,,
OpenMP,Triple Spiral,Com,16,1024,10,"0,313","0,0072",,,
OpenMP,Triple Spiral,Com,16,2048,10,"1,148","0,00581",,,
OpenMP,Triple Spiral,Com,16,4096,10,"4,4784","0,0303",,,
OpenMP,Triple Spiral,Com,16,8192,10,"17,457","0,0494",,,
Pthreads,Elephant,Com,32,16,10,"0,0014","0,0000344",,,
Pthreads,Elephant,Com,32,32,10,"0,0015","0,0000269",,,
Pthreads,Elephant,Com,32,64,10,"0,00197","0,0000475",,,
Pthreads,Elephant,Com,32,128,10,"0,00955","0,00064",,,
Pthreads,Elephant,Com,32,256,10,"0,0276","0,0018",,,
Pthreads,Elephant,Com,32,512,10,"0,071","0,00311",,,
Pthreads,Elephant,Com,32,1024,10,"0,28","0,00522",,,
Pthreads,Elephant,Com,32,2048,10,"0,96","0,0075",,,
Pthreads,Elephant,Com,32,4096,10,"3,8514","0,0338",,,
Pthreads,Elephant,Com,32,8192,10,"15,06","0,0361",,,
OpenMP,Elephant,Com,32,16,10,"0,0024","0,00019",,,
OpenMP,Elephant,Com,32,32,10,"0,002777","0,0000966",,,
OpenMP,Elephant,Com,32,64,10,"0,00363","0,00011",,,
OpenMP,Elephant,Com,32,128,10,"0,01","0,000633",,,
OpenMP,Elephant,Com,32,256,10,"0,028","0,0025",,,
OpenMP,Elephant,Com,32,512,10,"0,0817","0,0036",,,
OpenMP,Elephant,Com,32,1024,10,"0,278","0,006",,,
OpenMP,Elephant,Com,32,2048,10,"0,9896","0,00471",,,
OpenMP,Elephant,Com,32,4096,10,"3,8544","0,00776",,,
OpenMP,Elephant,Com,32,8192,10,"14,9968","0,0288",,,
Pthreads,Full,Com,32,16,10,"0,0017","0,000194",,,
Pthreads,Full,Com,32,32,10,"0,00154","0,0000388",,,
Pthreads,Full,Com,32,64,10,"0,00178","0,0001",,,
Pthreads,Full,Com,32,128,10,"0,0031","0,000247",,,
Pthreads,Full,Com,32,256,10,"0,01","0,001",,,
Pthreads,Full,Com,32,512,10,"0,04257","0,00196",,,
Pthreads,Full,Com,32,1024,10,"0,12","0,00866",,,
Pthreads,Full,Com,32,2048,10,"0,3718","0,00322",,,
Pthreads,Full,Com,32,4096,10,"1,436","0,00989",,,
Pthreads,Full,Com,32,8192,10,"5,4382","0,0493",,,
OpenMP,Full,Com,32,16,10,"0,00192","0,0000256",,,
OpenMP,Full,Com,32,32,10,"0,002644","0,000324",,,
OpenMP,Full,Com,32,64,10,"0,0028667","0,0000864",,,
OpenMP,Full,Com,32,128,10,"0,004","0,000223",,,
OpenMP,Full,Com,32,256,10,"0,0116","0,000985",,,
OpenMP,Full,Com,32,512,10,"0,03815","0,00246",,,
OpenMP,Full,Com,32,1024,10,"0,1045","0,0055",,,
OpenMP,Full,Com,32,2048,10,"0,37829","0,00331",,,
OpenMP,Full,Com,32,4096,10,"1,42736","0,00862",,,
OpenMP,Full,Com,32,8192,10,"5,4584","0,0227",,,
Pthreads,Seahorse,Com,32,16,10,"0,0017","0,00015",,,
Pthreads,Seahorse,Com,32,32,10,"0,0015","0,0000314",,,
Pthreads,Seahorse,Com,32,64,10,"0,002","0,000055",,,
Pthreads,Seahorse,Com,32,128,10,"0,008","0,000525",,,
Pthreads,Seahorse,Com,32,256,10,"0,03","0,000951",,,
Pthreads,Seahorse,Com,32,512,10,"0,082","0,00491",,,
Pthreads,Seahorse,Com,32,1024,10,"0,261","0,005",,,
Pthreads,Seahorse,Com,32,2048,10,"1,011","0,00654",,,
Pthreads,Seahorse,Com,32,4096,10,"3,9797","0,0148",,,
Pthreads,Seahorse,Com,32,8192,10,"15,6721","0,0186",,,
OpenMP,Seahorse,Com,32,16,10,"0,00194","0,000055",,,
OpenMP,Seahorse,Com,32,32,10,"0,0031","0,00026",,,
OpenMP,Seahorse,Com,32,64,10,"0,006722","0,000756",,,
OpenMP,Seahorse,Com,32,128,10,"0,011","0,000148",,,
OpenMP,Seahorse,Com,32,256,10,"0,03257","0,0016",,,
OpenMP,Seahorse,Com,32,512,10,"0,0765","0,0034",,,
OpenMP,Seahorse,Com,32,1024,10,"0,277","0,00605",,,
OpenMP,Seahorse,Com,32,2048,10,"1,02","0,006",,,
OpenMP,Seahorse,Com,32,4096,10,"4,016","0,0134",,,
OpenMP,Seahorse,Com,32,8192,10,"15,6903","0,0523",,,
Pthreads,Triple Spiral,Com,32,16,10,"0,0016","0,00013",,,
Pthreads,Triple Spiral,Com,32,32,10,"0,0018","0,000364",,,
Pthreads,Triple Spiral,Com,32,64,10,"0,0023","0,0000976",,,
Pthreads,Triple Spiral,Com,32,128,10,"0,009","0,00076",,,
Pthreads,Triple Spiral,Com,32,256,10,"0,031","0,00174",,,
Pthreads,Triple Spiral,Com,32,512,10,"0,0795","0,0034",,,
Pthreads,Triple Spiral,Com,32,1024,10,"0,299","0,0059",,,
Pthreads,Triple Spiral,Com,32,2048,10,"1,1022","0,0045",,,
